# Radiation correction v2.3. Params: lat=36.4503, lon=-5.2188, utc_time=2021-09-13 10:09
UTC time, Height (m AGL), Altitude (m MSL), Pressure (Pa), Temperature (C), Relative humidity (%), Wind speed (m/s), Wind direction (true deg), Dew point (C), Latitude  , Longitude  
08:10:09, 20, 279, 98491, 25.81, 49.1, 7.77, 123.8, 14.32, 36.451292, -5.220526
08:10:21, 40, 299, 98269, 25.78, 48.9, 9.23, 117.9, 14.24, 36.451694, -5.221681
08:10:59, 60, 319, 98047, 26.09, 47.9, 7.43, 122.4, 14.17, 36.453310, -5.223182
08:11:05, 80, 339, 97826, 26.05, 47.6, 7.16, 125.0, 14.07, 36.453492, -5.223502
08:11:12, 100, 359, 97605, 26.02, 47.6, 6.73, 124.3, 14.02, 36.453722, -5.223934
08:11:21, 120, 379, 97385, 26.01, 47.6, 6.94, 123.6, 14.01, 36.454060, -5.224534
08:11:29, 140, 399, 97165, 25.99, 47.5, 7.07, 122.9, 13.96, 36.454308, -5.225043
08:11:39, 160, 419, 96945, 25.90, 47.5, 7.07, 122.7, 13.88, 36.454626, -5.225660
08:11:47, 180, 439, 96726, 25.71, 47.7, 7.06, 123.8, 13.78, 36.454922, -5.226226
08:11:56, 200, 459, 96508, 25.46, 48.1, 7.12, 126.2, 13.67, 36.455228, -5.226774
08:12:05, 220, 479, 96289, 25.20, 48.7, 7.00, 128.8, 13.61, 36.455621, -5.227312
08:12:14, 240, 499, 96071, 24.99, 49.1, 6.76, 130.1, 13.56, 36.455972, -5.227838
08:12:22, 260, 519, 95854, 24.79, 49.5, 6.37, 131.8, 13.49, 36.456327, -5.228323
08:12:30, 280, 539, 95636, 24.60, 49.8, 5.96, 133.8, 13.42, 36.456614, -5.228721
08:12:39, 300, 559, 95419, 24.46, 50.0, 5.45, 135.7, 13.37, 36.456938, -5.229111
08:12:48, 320, 579, 95203, 24.32, 50.3, 4.95, 136.7, 13.32, 36.457211, -5.229444
08:12:54, 340, 599, 94987, 24.17, 50.5, 4.46, 140.9, 13.26, 36.457405, -5.229663
08:13:00, 360, 619, 94771, 24.09, 50.6, 4.09, 141.8, 13.20, 36.457581, -5.229812
08:13:07, 380, 639, 94555, 24.01, 50.7, 4.01, 138.1, 13.15, 36.457740, -5.229961
08:13:13, 400, 659, 94340, 23.89, 50.9, 4.25, 125.2, 13.09, 36.457879, -5.230132
08:13:19, 420, 679, 94126, 23.73, 51.1, 4.55, 113.5, 13.03, 36.457997, -5.230401
08:13:25, 440, 699, 93912, 23.53, 51.6, 4.87, 108.5, 12.97, 36.458078, -5.230709
08:13:33, 460, 719, 93698, 23.37, 52.0, 5.14, 108.4, 12.94, 36.458190, -5.231108
08:13:40, 480, 739, 93484, 23.17, 52.4, 5.36, 111.8, 12.88, 36.458292, -5.231451
08:13:45, 500, 759, 93271, 22.96, 52.8, 5.27, 112.3, 12.80, 36.458386, -5.231735
08:13:49, 520, 779, 93058, 22.74, 53.2, 5.19, 115.3, 12.73, 36.458463, -5.231989
08:13:54, 540, 799, 92846, 22.55, 53.8, 4.98, 120.4, 12.71, 36.458545, -5.232173
08:14:00, 560, 819, 92634, 22.39, 54.2, 4.75, 122.6, 12.69, 36.458717, -5.232411
08:14:08, 580, 839, 92422, 22.18, 54.8, 4.69, 122.5, 12.65, 36.458880, -5.232763
08:14:20, 600, 859, 92211, 21.97, 55.3, 4.77, 115.7, 12.60, 36.459157, -5.233299
08:14:32, 620, 879, 92000, 21.72, 55.9, 4.61, 116.3, 12.53, 36.459411, -5.233858
08:14:52, 640, 899, 91789, 21.49, 56.6, 4.48, 121.3, 12.49, 36.459801, -5.234768
08:15:15, 660, 919, 91578, 21.29, 57.2, 4.44, 126.7, 12.47, 36.460214, -5.235578
08:15:24, 680, 939, 91368, 21.06, 57.8, 4.58, 125.9, 12.43, 36.460369, -5.235930
08:15:31, 700, 959, 91158, 20.82, 58.3, 5.42, 120.2, 12.33, 36.460521, -5.236247
08:15:36, 720, 979, 90949, 20.64, 58.7, 7.14, 112.5, 12.26, 36.460629, -5.236564
08:15:42, 740, 999, 90740, 20.52, 59.0, 8.10, 111.7, 12.24, 36.460731, -5.237107
08:15:54, 760, 1019, 90531, 20.46, 59.1, 8.75, 117.2, 12.21, 36.461121, -5.238161
08:16:09, 780, 1039, 90323, 20.46, 58.5, 8.99, 127.4, 12.03, 36.461705, -5.239346
08:16:23, 800, 1059, 90115, 20.51, 57.4, 9.09, 135.9, 11.79, 36.462483, -5.240383
08:16:38, 820, 1079, 89908, 20.52, 56.7, 9.25, 139.5, 11.62, 36.463445, -5.241412
08:16:50, 840, 1099, 89701, 20.43, 56.5, 9.30, 142.1, 11.49, 36.464197, -5.242151
08:17:01, 860, 1119, 89494, 20.29, 56.6, 9.45, 144.5, 11.37, 36.464901, -5.242822
08:17:10, 880, 1139, 89288, 20.15, 56.6, 9.75, 147.6, 11.26, 36.465608, -5.243387
08:17:19, 900, 1159, 89082, 20.02, 56.7, 10.13, 149.5, 11.17, 36.466300, -5.243864
08:17:27, 920, 1179, 88877, 19.88, 56.9, 10.61, 148.7, 11.08, 36.466888, -5.244302
08:17:35, 940, 1199, 88672, 19.72, 57.1, 11.23, 149.2, 11.00, 36.467575, -5.244836
08:17:42, 960, 1219, 88468, 19.65, 56.9, 12.12, 150.3, 10.86, 36.468216, -5.245262
08:17:49, 980, 1239, 88263, 19.68, 55.7, 12.89, 151.6, 10.59, 36.468977, -5.245780
08:17:58, 1000, 1259, 88060, 19.74, 54.5, 13.43, 152.1, 10.31, 36.469869, -5.246367
08:18:08, 1020, 1279, 87857, 19.71, 53.9, 13.61, 153.5, 10.12, 36.470978, -5.247079
08:18:19, 1040, 1299, 87654, 19.67, 53.7, 13.58, 155.3, 10.03, 36.472218, -5.247839
08:18:31, 1060, 1319, 87452, 19.71, 53.4, 13.34, 158.4, 9.96, 36.473614, -5.248599
08:18:44, 1080, 1339, 87250, 19.86, 52.5, 13.05, 161.4, 9.86, 36.475041, -5.249226
08:18:57, 1100, 1359, 87049, 20.02, 51.6, 12.76, 164.3, 9.75, 36.476464, -5.249749
08:19:11, 1120, 1379, 86848, 20.10, 50.9, 12.47, 167.5, 9.63, 36.478079, -5.250215
08:19:28, 1140, 1399, 86648, 20.10, 50.6, 12.27, 172.1, 9.52, 36.479989, -5.250634
