UTC time, Altitude (m MSL), Altitude (m AGL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%), Internal temperature (C), Latitude, Longitude, Rise speed (m/s)
09:10:52, 654, 0, 94194, 0.85, 34.10, 24.34, 50.30, 29.75, 36.472608, -5.270783, 0
09:10:53, 654, 0, 94187, 0.80, 34.10, 24.35, 50.25,  ,  ,  , 0.1
09:10:54, 655, 1, 94181, 0.75, 5.50, 24.32, 50.15,  ,  ,  , 0.1
09:10:55, 656, 2, 94176, 1.40, 31.10, 24.27, 50.00,  , 36.472657, -5.270772, 0.1
09:10:56, 657, 3, 94155, 3.70, 0.10, 24.23, 49.95,  ,  ,  , 0.3
09:10:57, 659, 5, 94134, 3.95, 6.10, 24.19, 49.95,  ,  ,  , 0.4
09:10:58, 661, 7, 94114, 5.00, 352.60, 24.12, 49.90,  , 36.472782, -5.270767, 0.5
09:10:59, 662, 8, 94107, 4.00, 6.70, 24.08, 49.90,  ,  ,  , 0.6
09:11:00, 662, 8, 94101, 5.15, 344.10, 24.03, 49.80,  ,  ,  , 0.7
09:11:01, 663, 9, 94096, 5.30, 349.40, 23.97, 49.75,  , 36.472915, -5.270808, 0.7
09:11:03, 666, 12, 94063, 5.80, 358.90, 23.89, 49.80,  ,  ,  , 0.8
09:11:04, 668, 14, 94046, 6.80, 328.40, 23.84, 49.85,  , 36.473077, -5.270867, 0.9
09:11:05, 669, 15, 94036, 6.80, 353.30, 23.81, 49.90,  ,  ,  , 1.2
09:11:06, 669, 15, 94027, 8.55, 336.40, 23.78, 49.95,  ,  ,  , 1.2
09:11:07, 670, 16, 94018, 6.30, 355.20, 23.75, 50.00,  , 36.473282, -5.270940, 1.2
09:11:08, 672, 18, 93997, 9.20, 337.80, 23.72, 50.05,  ,  ,  , 1.3
09:11:09, 674, 20, 93976, 4.05, 351.20, 23.69, 50.15,  ,  ,  , 1.3
09:11:10, 676, 22, 93956, 6.10, 350.00, 23.68, 50.20,  , 36.473448, -5.270988, 1.3
09:11:11, 678, 24, 93934, 7.40, 351.00, 23.67, 50.25,  ,  ,  , 1.3
09:11:12, 680, 26, 93913, 6.45, 353.00, 23.64, 50.30,  ,  ,  , 1.4
