# Radiation correction v2.3. Params: lat=36.5318, lon=-5.1898, utc_time=2021-09-13 07:18
UTC time, Height (m AGL), Altitude (m MSL), Pressure (Pa), Temperature (C), Relative humidity (%), Wind speed (m/s), Wind direction (true deg), Dew point (C), Latitude  , Longitude  
05:19:17, 20, 1216, 88289, 20.59, 48.1, 13.20, 164.1, 9.23, 36.538433, -5.192296
05:19:31, 40, 1236, 88086, 20.51, 47.9, 13.24, 165.2, 9.09, 36.540022, -5.192831
05:19:43, 60, 1256, 87883, 20.44, 47.8, 13.14, 166.2, 9.00, 36.541455, -5.193288
05:19:54, 80, 1276, 87681, 20.35, 47.9, 12.90, 168.0, 8.95, 36.542713, -5.193632
05:20:03, 100, 1296, 87479, 20.26, 47.8, 12.77, 170.8, 8.84, 36.543727, -5.193848
05:20:12, 120, 1316, 87277, 20.21, 47.6, 12.64, 173.1, 8.71, 36.544735, -5.193997
05:20:21, 140, 1336, 87076, 20.14, 47.5, 12.55, 173.6, 8.61, 36.545717, -5.194138
05:20:28, 160, 1356, 86875, 20.03, 47.6, 12.59, 173.8, 8.54, 36.546474, -5.194236
05:20:35, 180, 1376, 86675, 19.89, 47.7, 12.66, 173.9, 8.47, 36.547351, -5.194360
05:20:43, 200, 1396, 86475, 19.74, 47.9, 12.77, 174.6, 8.40, 36.548260, -5.194467
05:20:52, 220, 1416, 86275, 19.60, 48.1, 12.89, 175.1, 8.32, 36.549198, -5.194571
05:20:59, 240, 1436, 86076, 19.44, 48.3, 13.03, 175.2, 8.24, 36.550035, -5.194659
05:21:06, 260, 1456, 85877, 19.27, 48.6, 13.05, 174.8, 8.16, 36.550863, -5.194750
05:21:13, 280, 1476, 85678, 19.09, 48.9, 13.13, 174.6, 8.08, 36.551666, -5.194850
05:21:19, 300, 1496, 85480, 18.92, 49.1, 13.20, 175.1, 8.00, 36.552456, -5.194946
05:21:27, 320, 1516, 85282, 18.74, 49.4, 13.42, 175.7, 7.93, 36.553354, -5.195032
05:21:35, 340, 1536, 85084, 18.57, 49.7, 13.70, 177.2, 7.86, 36.554287, -5.195107
05:21:42, 360, 1556, 84887, 18.37, 50.0, 13.92, 178.9, 7.77, 36.555192, -5.195130
05:21:51, 380, 1576, 84690, 18.17, 50.4, 13.97, 180.4, 7.67, 36.556324, -5.195136
05:22:00, 400, 1596, 84493, 17.96, 50.8, 13.95, 180.6, 7.60, 36.557562, -5.195126
05:22:11, 420, 1616, 84297, 17.75, 51.3, 13.82, 180.4, 7.55, 36.558953, -5.195109
05:22:23, 440, 1636, 84101, 17.56, 51.7, 13.71, 180.0, 7.50, 36.560377, -5.195098
05:22:34, 460, 1656, 83905, 17.33, 52.2, 13.67, 179.9, 7.43, 36.561832, -5.195094
05:22:46, 480, 1676, 83710, 17.13, 52.7, 13.67, 180.1, 7.38, 36.563311, -5.195083
05:22:57, 500, 1696, 83514, 16.98, 53.0, 13.56, 180.0, 7.33, 36.564637, -5.195085
05:23:07, 520, 1716, 83320, 16.78, 53.5, 13.56, 180.0, 7.27, 36.565816, -5.195095
05:23:17, 540, 1736, 83125, 16.60, 53.9, 13.47, 180.2, 7.21, 36.567100, -5.195098
05:23:27, 560, 1756, 82931, 16.39, 54.4, 13.48, 180.8, 7.15, 36.568307, -5.195079
05:23:37, 580, 1776, 82737, 16.19, 54.9, 13.59, 181.8, 7.10, 36.569542, -5.195054
05:23:48, 600, 1796, 82544, 16.01, 55.3, 13.93, 182.7, 7.05, 36.570835, -5.194967
05:23:57, 620, 1816, 82351, 15.82, 55.8, 14.26, 183.4, 6.99, 36.572075, -5.194873
05:24:08, 640, 1836, 82158, 15.63, 56.2, 14.57, 184.3, 6.93, 36.573548, -5.194775
05:24:19, 660, 1856, 81966, 15.45, 56.7, 14.78, 185.7, 6.89, 36.575016, -5.194619
05:24:30, 680, 1876, 81773, 15.26, 57.2, 14.85, 186.8, 6.84, 36.576345, -5.194426
05:24:40, 700, 1896, 81582, 15.10, 57.6, 14.86, 187.5, 6.78, 36.577758, -5.194197
05:24:51, 720, 1916, 81390, 14.91, 58.0, 14.90, 188.6, 6.70, 36.579170, -5.193967
05:25:06, 740, 1936, 81199, 14.72, 58.4, 14.93, 190.0, 6.63, 36.581158, -5.193563
05:25:25, 760, 1956, 81008, 14.59, 58.6, 14.78, 191.3, 6.56, 36.583623, -5.193016
05:25:46, 780, 1976, 80818, 14.49, 58.7, 14.51, 192.5, 6.50, 36.586444, -5.192286
05:26:13, 800, 1996, 80628, 14.38, 58.8, 14.26, 193.8, 6.42, 36.589837, -5.191317
05:26:40, 820, 2016, 80438, 14.26, 58.9, 13.98, 195.3, 6.32, 36.593145, -5.190253
05:27:09, 840, 2036, 80249, 14.16, 58.7, 13.72, 196.9, 6.18, 36.596586, -5.189035
05:27:36, 860, 2056, 80060, 14.06, 58.2, 13.54, 198.8, 5.95, 36.599831, -5.187697
05:28:00, 880, 2076, 79871, 13.95, 57.7, 13.42, 200.2, 5.73, 36.602553, -5.186483
05:28:19, 900, 2096, 79683, 13.80, 57.5, 13.28, 201.1, 5.54, 36.604666, -5.185467
05:28:36, 920, 2116, 79495, 13.63, 57.5, 13.24, 201.7, 5.40, 36.606553, -5.184535
05:28:51, 940, 2136, 79307, 13.48, 57.8, 13.23, 202.0, 5.32, 36.608214, -5.183710
05:29:04, 960, 2156, 79120, 13.31, 58.2, 13.25, 202.2, 5.25, 36.609739, -5.182946
05:29:17, 980, 2176, 78933, 13.13, 58.6, 13.31, 202.5, 5.18, 36.611112, -5.182251
05:29:28, 1000, 2196, 78746, 12.95, 59.0, 13.33, 202.5, 5.12, 36.612401, -5.181577
05:29:39, 1020, 2216, 78560, 12.78, 59.5, 13.41, 202.0, 5.08, 36.613599, -5.180971
05:29:49, 1040, 2236, 78374, 12.62, 60.0, 13.44, 201.6, 5.05, 36.614732, -5.180412
05:29:59, 1060, 2256, 78189, 12.47, 60.6, 13.46, 201.1, 5.04, 36.615878, -5.179873
05:30:08, 1080, 2276, 78003, 12.20, 61.7, 13.49, 201.2, 5.05, 36.616913, -5.179376
05:30:17, 1100, 2296, 77818, 12.00, 62.5, 13.56, 201.5, 5.05, 36.617960, -5.178877
05:30:26, 1120, 2316, 77634, 11.86, 62.9, 13.58, 201.6, 5.01, 36.618984, -5.178368
05:30:35, 1140, 2336, 77449, 11.67, 63.5, 13.66, 201.6, 4.97, 36.619981, -5.177880
05:30:43, 1160, 2356, 77265, 11.49, 64.0, 13.74, 201.7, 4.92, 36.620962, -5.177397
05:30:52, 1180, 2376, 77082, 11.31, 64.6, 13.78, 202.0, 4.88, 36.621948, -5.176909
05:31:00, 1200, 2396, 76898, 11.12, 65.3, 13.81, 202.1, 4.84, 36.622892, -5.176438
05:31:08, 1220, 2416, 76715, 10.92, 65.9, 13.75, 202.1, 4.79, 36.623860, -5.175949
05:31:16, 1240, 2436, 76533, 10.73, 66.5, 13.68, 202.2, 4.74, 36.624812, -5.175462
05:31:25, 1260, 2456, 76350, 10.56, 67.1, 13.57, 202.2, 4.70, 36.625764, -5.174979
05:31:33, 1280, 2476, 76168, 10.36, 67.7, 13.52, 201.9, 4.65, 36.626686, -5.174506
05:31:41, 1300, 2496, 75986, 10.16, 68.4, 13.47, 201.6, 4.59, 36.627623, -5.174051
05:31:49, 1320, 2516, 75805, 9.97, 69.0, 13.48, 201.4, 4.53, 36.628566, -5.173591
05:31:58, 1340, 2536, 75624, 9.79, 69.5, 13.48, 201.4, 4.48, 36.629523, -5.173124
05:32:06, 1360, 2556, 75443, 9.61, 70.1, 13.52, 201.7, 4.43, 36.630454, -5.172673
05:32:13, 1380, 2576, 75262, 9.45, 70.7, 13.47, 202.1, 4.39, 36.631337, -5.172230
05:32:21, 1400, 2596, 75082, 9.29, 71.2, 13.44, 202.6, 4.33, 36.632240, -5.171762
05:32:29, 1420, 2616, 74902, 9.09, 71.8, 13.39, 202.7, 4.26, 36.633082, -5.171333
05:32:36, 1440, 2636, 74722, 8.87, 72.4, 13.35, 202.9, 4.18, 36.633937, -5.170882
05:32:45, 1460, 2656, 74543, 8.70, 73.0, 13.31, 203.2, 4.12, 36.634869, -5.170391
05:32:53, 1480, 2676, 74364, 8.53, 73.6, 13.36, 203.8, 4.07, 36.635804, -5.169891
05:33:01, 1500, 2696, 74185, 8.35, 74.2, 13.41, 204.1, 4.02, 36.636712, -5.169379
