# Radiation correction v2.3. Params: lat=41.5178, lon=1.4944, utc_time=2021-07-25 20:19
Height (m AGL), Pressure (mb), Temperature (C), Relative humidity (%), Wind speed (m/s), Wind direction (true deg)
2260, 706.20, 6.52, 94.5, 3.77, 284.4
2280, 704.49, 6.45, 94.7, 4.20, 291.4
2300, 702.78, 6.34, 94.8, 5.03, 290.9
2320, 701.08, 6.23, 94.9, 5.86, 290.5
2340, 699.39, 6.08, 94.9, 5.70, 292.6
2360, 697.69, 5.88, 94.9, 5.36, 290.4
2380, 696.00, 5.73, 94.8, 4.99, 285.8
2400, 694.31, 5.61, 94.7, 4.63, 276.6
2420, 692.63, 5.45, 94.6, 4.73, 264.4
2440, 690.95, 5.34, 94.5, 4.68, 264.1
2460, 689.27, 5.25, 94.5, 4.67, 262.2
2480, 687.60, 5.18, 94.6, 4.97, 259.3
2500, 685.93, 5.02, 94.6, 5.43, 255.2
2520, 684.26, 4.87, 94.6, 5.88, 251.1
2540, 682.59, 4.79, 94.7, 6.07, 252.1
2560, 680.93, 4.73, 94.8, 6.26, 246.1
2580, 679.28, 4.67, 94.9, 6.49, 239.5
2600, 677.62, 4.63, 95.1, 7.49, 239.1
2620, 675.97, 4.58, 95.3, 8.48, 238.7
2640, 674.33, 4.55, 95.5, 9.10, 239.6
2660, 672.68, 4.53, 95.6, 9.14, 243.7
2680, 671.05, 4.45, 95.7, 9.50, 247.7
2700, 669.41, 4.36, 95.8, 10.29, 247.7
2720, 667.78, 4.27, 95.9, 11.07, 247.7
2740, 666.15, 4.18, 96.0, 11.79, 248.0
2760, 664.53, 4.08, 96.0, 12.32, 249.1
2780, 662.90, 3.96, 96.1, 12.72, 250.4
2800, 661.29, 3.90, 96.1, 13.14, 251.8
2820, 659.67, 3.76, 96.1, 13.51, 252.0
2840, 658.06, 3.59, 96.1, 13.66, 253.4
2860, 656.45, 3.38, 96.0, 13.68, 254.5
2880, 654.84, 3.20, 95.9, 13.37, 253.9
2900, 653.24, 2.96, 95.7, 12.85, 254.1
2920, 651.64, 2.74, 95.5, 12.23, 258.5
2940, 650.04, 2.63, 95.5, 12.25, 252.9
2960, 648.45, 2.52, 95.6, 12.57, 248.9
2980, 646.85, 2.40, 95.7, 12.97, 247.9
3000, 645.27, 2.24, 95.8, 13.15, 251.2
3020, 643.68, 1.86, 95.7, 13.44, 256.8
3040, 642.09, 1.59, 95.5, 14.12, 263.2
3060, 640.51, 1.34, 95.3, 15.24, 264.5
3080, 638.93, 1.08, 95.1, 16.02, 265.0
3100, 637.35, 0.82, 94.9, 16.81, 265.5
