# Radiation correction v2.3. Params: lat=41.5284, lon=1.4538, utc_time=2021-07-24 21:41
Height (m AGL), Pressure (mb), Temperature (C), Relative humidity (%), Wind speed (m/s), Wind direction (true deg)
20, 937.09,  ,  ,  ,  
40, 934.96, 23.90, 55.1, 0.00,  
60, 932.84, 23.67, 50.3, 9.29, 343.2
80, 930.71, 23.55, 47.7, 8.54, 4.8
100, 928.60, 24.12, 45.4, 7.12, 341.9
120, 926.50, 25.25, 39.9, 5.78, 285.6
140, 924.40, 25.40, 38.2, 6.64, 285.2
160, 922.31, 25.41, 36.2, 7.83, 284.7
180, 920.22, 25.45, 32.5, 8.32, 287.6
200, 918.13, 25.49, 30.1, 8.53, 290.9
220, 916.05, 25.51, 28.2, 8.71, 294.5
240, 913.97, 25.39, 27.8, 8.91, 297.6
260, 911.90, 25.29, 26.6, 8.86, 298.7
280, 909.83, 25.24, 25.1, 8.75, 299.1
300, 907.77, 25.21, 23.9, 8.62, 299.9
320, 905.71, 25.16, 23.7, 8.48, 300.4
340, 903.65, 25.10, 23.8, 8.40, 300.0
360, 901.60, 25.01, 24.2, 8.36, 298.9
380, 899.55, 24.87, 24.6, 8.30, 298.0
400, 897.50, 24.75, 24.6, 8.32, 299.5
420, 895.46, 24.61, 24.5, 8.38, 301.3
440, 893.42, 24.42, 24.3, 8.55, 303.4
460, 891.39, 24.19, 24.3, 8.70, 304.5
480, 889.36, 23.99, 24.5, 8.90, 304.5
500, 887.33, 23.82, 24.6, 8.97, 304.4
520, 885.31, 23.62, 24.8, 8.94, 304.0
540, 883.28, 23.41, 25.1, 8.83, 303.1
560, 881.27, 23.23, 25.2, 8.58, 301.8
580, 879.25, 23.01, 25.5, 8.26, 300.0
600, 877.24, 22.78, 25.7, 8.06, 298.5
620, 875.23, 22.61, 25.9, 7.86, 297.4
640, 873.22, 22.43, 26.1, 7.70, 295.9
660, 871.22, 22.23, 26.3, 7.61, 294.1
680, 869.22, 22.05, 26.5, 7.60, 292.8
700, 867.23, 21.88, 26.7, 7.63, 292.2
720, 865.24, 21.70, 26.9, 7.70, 291.6
740, 863.25, 21.52, 27.1, 7.77, 291.7
760, 861.26, 21.34, 27.3, 7.81, 292.2
780, 859.28, 21.14, 27.5, 7.81, 293.3
800, 857.30, 20.90, 27.8, 7.71, 294.0
820, 855.33, 20.71, 28.0, 7.49, 294.4
840, 853.35, 20.51, 28.3, 7.19, 295.0
860, 851.39, 20.32, 28.6, 6.83, 295.0
880, 849.42, 20.14, 28.9, 6.54, 294.9
900, 847.46, 19.94, 29.2, 6.33, 295.1
920, 845.50, 19.73, 29.6, 6.20, 295.5
940, 843.54, 19.54, 29.9, 6.07, 295.9
960, 841.59, 19.35, 30.6, 6.05, 295.9
980, 839.64, 19.13, 32.1, 6.00, 296.6
1000, 837.69, 18.85, 33.8, 5.93, 297.0
1020, 835.75, 18.56, 35.2, 6.03, 297.6
1040, 833.81, 18.24, 37.5, 6.28, 298.2
1060, 831.87, 17.96, 39.0, 6.65, 299.0
1080, 829.93, 17.86, 37.8, 6.77, 297.9
1100, 828.00, 17.79, 37.2, 6.91, 296.0
1120, 826.08, 17.63, 38.1, 7.01, 292.6
1140, 824.15, 17.38, 39.7, 7.15, 291.7
1160, 822.23, 17.13, 40.5, 7.17, 297.2
1180, 820.31, 16.92, 40.3, 7.24, 303.8
1200, 818.40, 16.79, 39.7, 7.28, 305.0
1220, 816.48, 16.62, 39.9, 7.49, 302.4
1240, 814.58, 16.39, 41.0, 7.81, 297.2
1260, 812.67, 16.17, 42.4, 8.02, 289.4
1280, 810.77, 15.86, 45.4, 7.58, 271.3
1300, 808.87, 15.62, 48.3, 7.04, 261.9
1320, 806.97, 15.46, 49.8, 6.57, 267.3
