# Radiation correction v2.3. Params: lat=41.5284, lon=1.4538, utc_time=2021-07-24 21:41
Height (m AGL), Pressure (mb), Temperature (C), Relative humidity (%), Wind speed (m/s), Wind direction (true deg)
1340, 805.08, 15.30, 50.2, 6.38, 274.6
1360, 803.19, 15.09, 49.8, 6.40, 271.9
1380, 801.31, 14.86, 49.3, 6.46, 267.0
1400, 799.42, 14.76, 48.8, 6.33, 268.1
1420, 797.54, 14.75, 48.2, 6.35, 266.9
1440, 795.67, 14.73, 47.8, 6.49, 264.5
1460, 793.80, 14.57, 48.3, 6.47, 261.0
1480, 791.93, 14.43, 48.8, 6.53, 266.3
1500, 790.06, 14.37, 48.5, 6.54, 272.5
1520, 788.20, 14.27, 48.4, 6.50, 277.6
1540, 786.35, 14.04, 49.2, 6.57, 280.4
1560, 784.49, 13.85, 50.0, 6.71, 281.5
1580, 782.64, 13.64, 50.2, 6.80, 283.6
1600, 780.79, 13.45, 50.4, 6.81, 287.1
1620, 778.95, 13.29, 50.8, 7.07, 287.7
1640, 777.11, 13.05, 51.1, 7.25, 286.2
1660, 775.27, 12.89, 51.2, 7.54, 287.6
1680, 773.43, 12.77, 51.6, 8.21, 284.0
1700, 771.60, 12.69, 52.1, 8.81, 277.0
1720, 769.78, 12.68, 51.8, 9.20, 274.7
1740, 767.95, 12.70, 51.3, 9.51, 271.2
1760, 766.14, 12.79, 50.7, 9.56, 269.7
1780, 764.32, 12.87, 50.0, 9.61, 266.9
1800, 762.51, 12.85, 50.3, 9.72, 264.0
1820, 760.71, 12.83, 51.3, 9.94, 260.4
1840, 758.91, 12.86, 51.0, 10.30, 257.0
1860, 757.11, 12.91, 49.2, 10.71, 256.4
1880, 755.31, 12.93, 48.3, 11.04, 256.2
1900, 753.52, 12.93, 47.2, 11.26, 255.8
1920, 751.73, 12.88, 46.3, 11.52, 255.7
1940, 749.95, 12.76, 44.5, 11.69, 255.7
1960, 748.17, 12.60, 43.1, 11.78, 255.5
1980, 746.40, 12.46, 42.7, 11.82, 255.2
2000, 744.63, 12.35, 43.0, 11.80, 254.9
2020, 742.86, 12.20, 43.4, 11.79, 254.2
2040, 741.10, 11.97, 43.5, 11.85, 253.2
2060, 739.34, 11.81, 43.3, 11.94, 252.4
2080, 737.58, 11.69, 43.1, 12.01, 251.9
2100, 735.82, 11.53, 43.2, 12.06, 250.8
2120, 734.07, 11.39, 43.8, 12.07, 249.8
2140, 732.33, 11.27, 44.6, 12.06, 249.0
2160, 730.58, 11.04, 46.0, 12.07, 247.5
2180, 728.84, 10.84, 47.8, 12.11, 245.9
2200, 727.10, 10.72, 49.0, 12.19, 245.2
2220, 725.37, 10.57, 49.6, 12.30, 245.0
2240, 723.63, 10.41, 49.2, 12.45, 245.2
2260, 721.90, 10.25, 48.9, 12.65, 245.4
2280, 720.18, 10.09, 48.5, 12.80, 245.2
2300, 718.46, 9.97, 47.8, 12.91, 245.1
2320, 716.74, 9.83, 46.9, 13.01, 244.6
2340, 715.02, 9.64, 46.1, 13.06, 243.9
2360, 713.31, 9.52, 46.0, 13.10, 243.2
2380, 711.60, 9.40, 45.6, 13.29, 242.4
2400, 709.89, 9.20, 44.9, 13.51, 241.0
2420, 708.19, 9.09, 44.7, 13.69, 240.9
2440, 706.49, 8.92, 44.3, 13.83, 240.7
2460, 704.79, 8.75, 44.0, 13.98, 240.5
2480, 703.10, 8.58, 43.7, 14.12, 240.3
2500, 701.40, 8.40, 43.4, 14.27, 240.1
2520, 699.72, 8.23, 43.1, 14.42, 239.9
2540, 698.03, 8.06, 42.7, 14.56, 239.7
2560, 696.35, 7.90, 42.7, 14.45, 239.4
2580, 694.67, 7.87, 40.1, 14.73, 241.2
2600, 692.99, 7.84, 37.5, 15.01, 242.9
2620, 691.32, 7.81, 35.2, 15.27, 244.5
2640, 689.65, 7.69, 34.7, 15.47, 244.5
2660, 687.99, 7.58, 34.2, 15.66, 244.4
2680, 686.32, 7.46, 33.8, 15.85, 244.4
2700, 684.67, 7.31, 33.8, 15.91, 245.7
2720, 683.01, 7.12, 34.1, 15.94, 245.6
2740, 681.36, 6.98, 34.1, 15.97, 245.8
2760, 679.71, 6.86, 34.2, 16.01, 245.9
2780, 678.06, 6.73, 34.4, 16.01, 245.7
2800, 676.42, 6.58, 34.5, 16.06, 245.4
2820, 674.78, 6.42, 34.4, 16.11, 245.1
2840, 673.14, 6.30, 34.3, 16.21, 244.8
2860, 671.51, 6.14, 34.2, 16.29, 244.6
2880, 669.88, 6.02, 34.1, 16.38, 244.5
2900, 668.25, 5.89, 34.0, 16.43, 244.6
2920, 666.62, 5.66, 34.1, 16.55, 244.8
2940, 665.00, 5.43, 34.1, 16.66, 245.0
2960, 663.38, 5.28, 34.1, 16.66, 245.1
2980, 661.77, 5.15, 34.1, 16.72, 245.1
3000, 660.15, 4.94, 34.3, 16.80, 245.3
3020, 658.54, 4.75, 34.5, 16.96, 245.7
3040, 656.94, 4.64, 34.2, 17.13, 246.4
3060, 655.33, 4.56, 33.7, 17.28, 247.2
3080, 653.73, 4.44, 33.1, 17.41, 248.2
3100, 652.13, 4.30, 32.7, 17.59, 249.0
