# Radiation correction v2.3. Params: lat=41.5105, lon=1.4862, utc_time=2021-07-25 12:40
Height (m AGL), Pressure (mb), Temperature (C), Relative humidity (%), Wind speed (m/s), Wind direction (true deg)
20, 936.46, 29.38, 29.7, 4.97, 165.7
40, 934.37, 29.18, 29.5, 4.95, 188.2
60, 932.28, 29.21, 29.5, 4.92, 226.8
80, 930.20, 29.43, 29.4, 5.36, 261.8
100, 928.12, 29.57, 29.2, 5.56, 278.4
120, 926.05, 29.48, 29.3, 4.74, 240.3
140, 923.98, 29.48, 28.1, 3.77, 230.1
160, 921.92, 29.22, 26.9, 3.12, 261.9
180, 919.85, 28.75, 27.2, 2.92, 306.0
200, 917.79, 27.80, 28.8, 3.07, 298.2
220, 915.71, 27.04, 29.8, 3.27, 275.0
240, 913.65, 26.76, 30.0, 3.18, 258.0
260, 911.58, 26.66, 30.0, 3.40, 256.5
280, 909.53, 26.53, 29.9, 3.65, 262.2
300, 907.47, 26.34, 29.8, 3.55, 272.6
320, 905.42, 25.94, 29.9, 3.18, 279.6
340, 903.37, 25.56, 30.2, 2.78, 276.5
360, 901.32, 25.25, 30.6, 2.45, 265.1
380, 899.28, 24.90, 31.2, 2.34, 257.6
400, 897.23, 24.60, 31.8, 2.55, 266.0
420, 895.19, 24.31, 32.4, 2.94, 295.7
440, 893.16, 24.12, 32.8, 3.91, 322.5
460, 891.12, 23.84, 33.4, 4.76, 328.9
480, 889.09, 23.55, 33.8, 5.54, 315.8
500, 887.07, 23.47, 34.1, 6.05, 297.8
520, 885.04, 23.60, 34.7, 6.19, 268.4
540, 883.03, 23.99, 35.0, 6.45, 268.3
560, 881.02, 24.31, 34.6, 7.07, 286.2
580, 879.02, 24.46, 34.1, 7.57, 279.1
600, 877.01, 24.45, 33.7, 7.95, 262.4
620, 875.02, 24.35, 33.5, 7.95, 243.8
640, 873.03, 24.24, 33.5, 7.38, 235.2
660, 871.04, 24.12, 33.7, 6.52, 256.3
680, 869.05, 23.98, 33.8, 5.98, 268.3
700, 867.07, 23.93, 33.9, 5.66, 256.5
720, 865.10, 23.83, 34.0, 5.46, 237.6
740, 863.12, 23.73, 34.0, 4.61, 240.7
760, 861.16, 23.62, 34.1, 2.98, 263.1
780, 859.19, 23.49, 34.2, 1.91, 282.5
800, 857.23, 23.35, 34.4, 1.56, 284.8
820, 855.28, 23.23, 34.5, 1.73, 279.0
840, 853.32, 23.04, 34.6, 2.17, 329.5
860, 851.37, 22.84, 34.8, 2.70, 7.5
880, 849.43, 22.68, 35.0, 2.75, 353.0
900, 847.48, 22.53, 35.3, 2.65, 320.4
920, 845.54, 22.39, 35.6, 2.50, 314.3
940, 843.61, 22.26, 35.8, 2.40, 324.9
960, 841.67, 22.12, 36.0, 2.48, 311.3
980, 839.75, 21.98, 36.1, 2.60, 291.9
1000, 837.82, 21.81, 36.4, 2.95, 303.0
1020, 835.90, 21.64, 36.6, 3.16, 312.7
1040, 833.98, 21.44, 36.7, 2.81, 312.8
1060, 832.06, 21.25, 36.9, 2.46, 313.0
1080, 830.15, 21.05, 37.0, 2.23, 315.1
1100, 828.24, 20.85, 37.2, 2.39, 320.2
1120, 826.33, 20.62, 37.4, 2.13, 320.9
1140, 824.43, 20.38, 37.6, 1.93, 326.1
1160, 822.53, 20.12, 37.9, 1.63, 356.8
1180, 820.63, 19.87, 38.3, 1.60, 22.1
1200, 818.73, 19.64, 38.7, 1.71, 36.5
1220, 816.84, 19.42, 39.1, 1.93, 45.8
1240, 814.95, 19.23, 39.5, 2.16, 63.4
1260, 813.06, 19.07, 39.8, 2.43, 82.3
1280, 811.18, 18.93, 40.1, 2.46, 99.6
1300, 809.30, 18.82, 40.4, 2.19, 100.6
1320, 807.42, 18.55, 40.8, 1.91, 80.6
1340, 805.55, 18.24, 41.2, 1.65, 62.1
1360, 803.68, 17.97, 41.8, 1.89, 78.9
1380, 801.81, 17.84, 42.4, 2.72, 115.0
1400, 799.94, 17.71, 42.8, 3.88, 132.8
1420, 798.08, 17.37, 43.3, 4.64, 128.0
1440, 796.22, 16.84, 44.0, 5.07, 122.2
1460, 794.36, 16.40, 44.6, 5.04, 127.7
1480, 792.50, 15.71, 45.9, 4.74, 143.6
1500, 790.64, 14.94, 47.8, 4.86, 170.0
1520, 788.79, 14.41, 49.6, 5.30, 181.9
1540, 786.93, 14.04, 50.9, 5.55, 187.1
1560, 785.07, 13.74, 52.2, 5.94, 183.0
1580, 783.22, 13.74, 53.3, 5.81, 174.0
1600, 781.37, 13.84, 53.6, 5.65, 173.5
1620, 779.53, 13.84, 53.9, 5.25, 181.1
1640, 777.69, 13.73, 53.9, 5.11, 188.7
1660, 775.85, 13.55, 53.8, 5.25, 196.8
1680, 774.02, 13.33, 53.9, 5.38, 201.5
1700, 772.19, 13.18, 54.2, 5.61, 203.1
1720, 770.36, 13.06, 54.5, 5.67, 206.7
1740, 768.54, 12.98, 54.5, 5.71, 216.5
1760, 766.72, 12.96, 54.3, 5.68, 224.1
1780, 764.91, 12.99, 53.6, 5.79, 226.8
1800, 763.11, 13.04, 52.6, 6.04, 228.0
1820, 761.30, 13.10, 51.8, 6.60, 229.3
1840, 759.49, 13.12, 51.2, 6.94, 230.7
1860, 757.70, 13.07, 50.8, 7.23, 231.8
1880, 755.90, 12.98, 50.8, 7.59, 231.1
1900, 754.11, 12.81, 50.9, 7.95, 230.7
1920, 752.33, 12.63, 51.1, 8.37, 231.2
1940, 750.55, 12.50, 51.3, 8.72, 233.0
1960, 748.77, 12.37, 51.6, 9.16, 234.6
1980, 746.99, 12.12, 52.1, 9.55, 237.1
2000, 745.22, 11.87, 52.5, 9.69, 239.5
2020, 743.45, 11.69, 52.9, 9.62, 240.9
2040, 741.68, 11.49, 53.5, 9.43, 242.6
2060, 739.92, 11.21, 54.4, 9.23, 245.8
2080, 738.16, 10.99, 55.1, 9.13, 247.9
2100, 736.40, 10.89, 55.3, 9.08, 248.6
2120, 734.64, 10.73, 54.3, 8.06, 247.7
2140, 732.89, 10.56, 53.9, 7.61, 247.2
2160, 731.14, 10.38, 54.1, 6.96, 247.5
2180, 729.39, 10.17, 54.5, 6.68, 247.2
2200, 727.65, 9.98, 54.9, 6.40, 246.8
2220, 725.91, 9.79, 55.3, 6.21, 246.8
2240, 724.17, 9.57, 55.9, 6.00, 247.2
2260, 722.44, 9.35, 56.6, 5.85, 247.2
2280, 720.70, 9.24, 55.9, 5.89, 247.8
2300, 718.98, 9.31, 50.4, 6.07, 249.9
2320, 717.25, 9.42, 44.0, 6.39, 252.4
2340, 715.53, 9.51, 39.8, 6.83, 254.8
2360, 713.81, 9.45, 39.0, 7.26, 257.3
2380, 712.10, 9.27, 38.9, 7.53, 258.5
2400, 710.39, 9.05, 37.5, 7.67, 258.8
2420, 708.68, 8.90, 35.1, 7.69, 258.5
2440, 706.98, 8.80, 32.6, 7.56, 258.2
2460, 705.28, 8.73, 31.5, 7.36, 257.4
2480, 703.58, 8.69, 30.9, 7.20, 256.7
