# Radiation correction v2.3. Params: lat=41.5105, lon=1.4862, utc_time=2021-07-25 12:40
Height (m AGL), Pressure (mb), Temperature (C), Relative humidity (%), Wind speed (m/s), Wind direction (true deg)
2500, 701.89, 8.63, 30.4, 7.09, 255.7
2520, 700.20, 8.55, 29.9, 7.01, 254.4
2540, 698.51, 8.43, 29.3, 7.03, 252.6
2560, 696.83, 8.29, 27.5, 7.18, 249.1
2580, 695.15, 8.26, 25.3, 7.43, 246.9
2600, 693.47, 8.31, 23.2, 7.80, 246.1
2620, 691.80, 8.37, 21.5, 8.35, 245.4
2640, 690.14, 8.46, 21.0, 9.04, 244.5
2660, 688.48, 8.57, 22.3, 9.76, 244.3
2680, 686.82, 8.69, 24.6, 10.37, 245.1
2700, 685.17, 8.73, 26.8, 10.88, 246.0
2720, 683.52, 8.66, 29.3, 11.22, 247.2
2740, 681.87, 8.52, 31.7, 11.56, 248.6
2760, 680.23, 8.31, 33.8, 11.83, 250.0
2780, 678.59, 8.04, 36.0, 12.05, 251.4
2800, 676.95, 7.74, 38.2, 12.22, 252.4
2820, 675.32, 7.47, 40.7, 12.33, 253.1
2840, 673.68, 7.27, 42.8, 12.47, 253.7
2860, 672.06, 7.13, 44.6, 12.66, 254.2
2880, 670.43, 7.05, 46.6, 12.83, 254.2
2900, 668.81, 7.02, 48.3, 13.02, 253.4
2920, 667.19, 6.95, 49.2, 13.22, 251.9
2940, 665.58, 6.81, 49.0, 13.37, 250.7
2960, 663.97, 6.71, 49.3, 13.48, 250.2
2980, 662.36, 6.58, 50.5, 13.57, 249.7
3000, 660.75, 6.46, 51.4, 13.66, 249.0
3020, 659.15, 6.36, 51.7, 13.73, 248.3
3040, 657.55, 6.24, 52.0, 13.90, 247.8
3060, 655.96, 6.13, 52.3, 14.14, 247.2
3080, 654.37, 6.02, 52.5, 14.39, 247.0
3100, 652.78, 5.81, 52.9, 14.72, 247.4
3120, 651.19, 5.57, 53.2, 15.22, 248.0
3140, 649.61, 5.43, 53.2, 15.53, 249.2
3160, 648.03, 5.34, 52.8, 15.74, 250.0
3180, 646.45, 5.28, 52.6, 15.79, 250.4
3200, 644.88, 5.05, 52.0, 15.86, 250.4
3220, 643.30, 4.65, 51.4, 15.81, 250.3
3240, 641.74, 4.54, 50.2, 15.87, 250.0
3260, 640.17, 4.35, 47.4, 15.81, 250.2
3280, 638.60, 4.21, 44.3, 15.68, 250.2
3300, 637.04, 4.08, 41.1, 15.51, 250.2
3320, 635.49, 3.98, 38.1, 15.37, 249.7
3340, 633.93, 3.98, 36.5, 15.36, 248.9
3360, 632.38, 3.99, 36.0, 15.36, 248.9
3380, 630.83, 3.96, 34.9, 15.36, 248.2
3400, 629.29, 3.92, 33.8, 15.40, 247.1
3420, 627.75, 3.85, 32.0, 15.48, 247.1
3440, 626.21, 3.80, 29.9, 15.55, 247.0
3460, 624.68, 3.79, 28.8, 15.62, 246.8
3480, 623.14, 3.80, 27.0, 15.71, 245.9
3500, 621.62, 3.84, 25.3, 15.82, 244.8
3520, 620.09, 3.88, 23.7, 15.93, 243.7
3540, 618.57, 3.93, 22.0, 16.05, 242.7
3560, 617.06, 3.97, 20.3, 16.16, 241.6
3580, 615.54, 4.00, 19.1, 15.64, 241.2
3600, 614.03, 3.84, 18.7, 15.72, 241.3
3620, 612.53, 3.67, 18.2, 15.80, 241.3
3640, 611.02, 3.51, 17.7, 15.89, 241.4
3660, 609.52, 3.37, 17.3, 15.96, 241.5
3680, 608.03, 3.41, 16.1, 16.02, 241.1
3700, 606.53, 3.37, 15.4, 16.09, 240.3
3720, 605.05, 3.33, 14.7, 16.17, 239.4
3740, 603.56, 3.27, 14.4, 16.26, 238.9
3760, 602.08, 3.20, 14.5, 16.37, 238.6
3780, 600.60, 3.11, 14.8, 16.46, 238.3
3800, 599.12, 3.04, 15.0, 16.56, 238.0
3820, 597.65, 2.96, 15.2, 16.67, 237.8
3840, 596.18, 2.88, 15.4, 16.77, 237.5
3860, 594.71, 2.80, 15.7, 16.89, 237.3
3880, 593.25, 2.71, 15.9, 17.12, 237.0
3900, 591.79, 2.65, 15.6, 17.43, 236.4
3920, 590.33, 2.62, 14.5, 17.65, 235.1
3940, 588.88, 2.59, 13.7, 17.90, 234.3
3960, 587.43, 2.52, 13.5, 17.83, 233.6
3980, 585.98, 2.39, 13.6, 17.78, 233.8
4000, 584.54, 2.32, 13.7, 17.54, 234.1
4020, 583.10, 2.24, 14.2, 17.31, 235.4
4040, 581.66, 2.16, 14.5, 17.04, 236.6
4060, 580.23, 2.12, 14.5, 16.94, 236.9
4080, 578.80, 1.95, 14.4, 16.92, 237.6
4100, 577.37, 1.81, 14.3, 16.92, 237.9
4120, 575.94, 1.77, 14.1, 16.98, 237.6
4140, 574.52, 1.76, 13.9, 17.09, 237.3
4160, 573.10, 1.74, 13.6, 17.21, 237.1
4180, 571.69, 1.69, 13.3, 17.36, 236.5
4200, 570.27, 1.61, 13.1, 17.47, 235.9
4220, 568.86, 1.47, 13.0, 17.52, 235.2
4240, 567.46, 1.36, 12.9, 17.57, 234.9
4260, 566.05, 1.29, 12.8, 17.60, 234.8
4280, 564.65, 0.95, 12.9, 17.51, 235.3
4300, 563.25, 0.57, 12.9, 17.39, 235.7
4320, 561.85, 0.19, 13.0, 17.28, 236.1
4340, 560.45, -0.16, 13.1, 17.17, 236.5
4360, 559.06, -0.26, 13.1, 17.12, 236.5
4380, 557.67, -0.45, 13.2, 17.11, 236.6
4400, 556.28, -0.52, 13.1, 17.07, 236.6
4420, 554.90, -0.55, 13.0, 17.07, 236.4
