UTC time, Altitude (m MSL), Altitude (m AGL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%), Internal temperature (C), Latitude, Longitude, Rise speed (m/s)
19:41:55, 679, 37, 93524, 20.10, 54.30, 24.13, 59.30,  , 41.528420, 1.453758, 
19:41:57, 679, 37, 93521, 19.85, 51.80, 24.17, 59.20,  ,  ,  , 
19:41:58, 679, 37, 93519, 19.65, 50.20, 24.19, 58.90,  ,  ,  , 
19:41:59, 679, 37, 93518, 19.05, 49.40, 24.19, 58.70,  , 41.528755, 1.454310, 
19:42:01, 680, 38, 93512, 17.40, 48.90, 24.20, 58.15,  ,  ,  , 
19:42:02, 680, 38, 93510, 17.25, 49.80, 24.20, 57.90,  , 41.529177, 1.454952, 
19:42:03, 680, 38, 93511, 17.55, 50.20, 24.20, 57.65,  ,  ,  , 
19:42:04, 680, 38, 93512, 18.10, 50.50, 24.20, 57.45,  ,  ,  , 
19:42:05, 680, 38, 93514, 18.10, 50.90, 24.20, 57.30,  , 41.529477, 1.455445, 
19:42:06, 679, 37, 93518, 18.15, 51.00, 24.20, 57.10,  ,  ,  , 
19:42:07, 679, 37, 93523, 18.60, 52.50, 24.20, 57.00,  ,  ,  , 
19:42:08, 679, 37, 93528, 19.50, 54.60, 24.20, 56.90,  , 41.529783, 1.455972, 0
19:42:10, 682, 40, 93492, 19.95, 50.30, 24.23, 56.80,  ,  ,  , 0.2
19:42:11, 684, 42, 93474, 20.25, 47.10, 24.26, 56.70,  , 41.530123, 1.456523, 0.3
19:42:12, 685, 43, 93464, 19.90, 47.50, 24.28, 56.50,  ,  ,  , 0.4
19:42:13, 685, 43, 93455, 19.45, 51.00, 24.31, 56.30,  ,  ,  , 0.4
19:42:14, 686, 44, 93446, 19.05, 55.20, 24.32, 56.05,  , 41.530460, 1.457067, 0.5
19:42:16, 686, 44, 93451, 16.00, 62.10, 24.32, 55.80,  ,  ,  , 0.5
19:42:17, 685, 43, 93454, 14.85, 69.60, 24.32, 55.60, 28.25, 41.530673, 1.457600, 0.5
19:42:18, 685, 43, 93457, 14.60, 77.60, 24.31, 55.40,  ,  ,  , 0.5
19:42:19, 685, 43, 93460, 15.25, 87.30, 24.30, 55.20,  ,  ,  , 0.5
19:42:20, 685, 43, 93464, 15.80, 95.20, 24.30, 54.90,  , 41.530692, 1.458145, 0.5
19:42:21, 684, 42, 93472, 15.10, 99.90, 24.28, 54.75,  ,  ,  , 0.4
19:42:22, 683, 41, 93481, 13.75, 97.30, 24.28, 54.50,  ,  ,  , 0.1
19:42:23, 682, 40, 93490, 13.90, 91.30, 24.26, 54.15,  , 41.530635, 1.458660, -0.1
19:42:25, 683, 41, 93481, 16.00, 78.40, 24.23, 53.85,  ,  ,  , -0.1
