UTC time, Altitude (m MSL), Altitude (m AGL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%), Internal temperature (C), Latitude, Longitude, Rise speed (m/s)
18:19:59, 796, 0, 92094, 0.55, 34.30, 21.65, 65.65,  , 41.517753, 1.494428, 0
18:20:00, 799, 2, 92064, 0.45, 333.40, 21.61, 65.65,  ,  ,  , 0.2
18:20:01, 801, 4, 92036, 3.95, 343.30, 21.60, 65.65,  ,  ,  , 0.4
18:20:02, 804, 7, 92008, 6.65, 357.60, 21.58, 65.70,  , 41.517903, 1.494423, 0.6
18:20:03, 807, 10, 91979, 6.90, 12.00, 21.56, 65.80,  ,  ,  , 0.8
18:20:04, 809, 12, 91950, 6.10, 357.30, 21.54, 65.85,  ,  ,  , 0.9
18:20:05, 812, 15, 91922, 9.70, 18.80, 21.50, 65.85,  , 41.518105, 1.494500, 1.0
18:20:06, 814, 17, 91899, 8.75, 33.60, 21.47, 65.90,  ,  ,  , 1.3
18:20:07, 816, 19, 91876, 10.60, 10.20, 21.45, 65.95,  ,  ,  , 1.5
18:20:08, 819, 22, 91854, 8.15, 17.90, 21.42, 66.05,  , 41.518332, 1.494588, 1.7
18:20:09, 820, 23, 91836, 7.75, 16.50, 21.41, 66.10,  ,  ,  , 1.8
18:20:10, 822, 25, 91819, 9.50, 22.80, 21.39, 66.20,  ,  ,  , 2.1
18:20:11, 823, 26, 91802, 9.40, 13.60, 21.38, 66.25,  , 41.518563, 1.494702, 2.3
18:20:12, 825, 28, 91784, 9.70, 28.40, 21.39, 66.30,  ,  ,  , 2.3
18:20:13, 827, 30, 91766, 8.35, 15.30, 21.37, 66.35,  ,  ,  , 2.2
18:20:14, 829, 32, 91748, 11.85, 17.90, 21.34, 66.35,  , 41.518803, 1.494813, 2.1
18:20:15, 829, 32, 91744, 7.00, 20.90, 21.31, 66.45,  ,  ,  , 1.9
18:20:16, 829, 32, 91741, 9.15, 22.10, 21.31, 66.50,  ,  ,  , 1.7
18:20:17, 830, 33, 91738, 7.60, 17.90, 21.29, 66.55, 26.75, 41.519022, 1.494923, 1.5
18:20:18, 830, 33, 91734, 10.55, 21.40, 21.30, 66.60,  ,  ,  , 1.3
18:20:19, 830, 33, 91731, 8.35, 28.80, 21.30, 66.65,  ,  ,  , 1.2
18:20:20, 831, 34, 91728, 8.65, 27.90, 21.32, 66.65,  , 41.519232, 1.495082, 1.0
18:20:21, 831, 34, 91720, 8.65, 39.20, 21.32, 66.60,  ,  ,  , 1.0
18:20:22, 832, 35, 91713, 8.85, 37.90, 21.32, 66.60,  ,  ,  , 0.9
18:20:23, 833, 36, 91706, 9.00, 29.40, 21.32, 66.60,  , 41.519438, 1.495257, 0.8
18:20:24, 833, 36, 91697, 9.80, 21.80, 21.31, 66.60,  ,  ,  , 0.7
18:20:25, 834, 37, 91688, 8.80, 28.00, 21.31, 66.60,  ,  ,  , 0.6
18:20:26, 835, 38, 91680, 9.20, 27.70, 21.30, 66.65,  , 41.519652, 1.495405, 0.5
18:20:27, 836, 39, 91665, 8.80, 33.90, 21.29, 66.65,  ,  ,  , 0.6
18:20:28, 838, 41, 91651, 8.80, 35.10, 21.29, 66.65,  ,  ,  , 0.7
18:20:29, 839, 42, 91638, 9.70, 36.60, 21.28, 66.65,  , 41.519852, 1.495595, 0.8
18:20:30, 840, 43, 91629, 9.35, 35.90, 21.27, 66.70,  ,  ,  , 0.8
18:20:31, 841, 44, 91621, 7.30, 30.20, 21.27, 66.70,  ,  ,  , 0.9
18:20:32, 841, 44, 91614, 9.60, 33.70, 21.26, 66.70,  , 41.520052, 1.495755, 0.9
18:20:33, 842, 45, 91604, 9.25, 28.00, 21.27, 66.70,  ,  ,  , 0.9
18:20:34, 843, 46, 91594, 8.95, 36.70, 21.27, 66.70,  ,  ,  , 0.9
18:20:35, 844, 47, 91584, 8.20, 37.20, 21.30, 66.65,  , 41.520243, 1.495938, 0.9
18:20:36, 845, 48, 91578, 9.60, 38.00, 21.32, 66.60,  ,  ,  , 0.9
18:20:37, 845, 48, 91573, 7.65, 26.40, 21.36, 66.60,  ,  ,  , 0.9
18:20:38, 846, 49, 91568, 10.00, 44.60, 21.38, 66.50,  , 41.520433, 1.496120, 0.9
18:20:40, 847, 50, 91555, 9.30, 41.80, 21.41, 66.30,  ,  ,  , 0.8
18:20:41, 847, 50, 91550, 9.45, 23.30, 21.42, 66.20,  , 41.520638, 1.496295, 0.7
18:20:43, 849, 52, 91536, 8.10, 33.50, 21.45, 66.05,  ,  ,  , 0.7
18:20:44, 849, 52, 91530, 8.95, 44.50, 21.46, 66.00, 27.50, 41.520818, 1.496492, 0.7
18:20:45, 850, 53, 91520, 8.40, 38.10, 21.50, 65.90,  ,  ,  , 0.7
18:20:46, 851, 54, 91511, 8.90, 35.10, 21.50, 65.85,  ,  ,  , 0.7
18:20:47, 852, 55, 91502, 8.00, 36.90, 21.53, 65.80,  , 41.521012, 1.496680, 0.7
18:20:48, 853, 56, 91493, 9.90, 37.90, 21.53, 65.80,  ,  ,  , 0.7
18:20:49, 854, 57, 91484, 9.25, 33.50, 21.54, 65.75,  ,  ,  , 0.7
18:20:50, 855, 58, 91476, 10.30, 39.40, 21.57, 65.70,  , 41.521228, 1.496890, 0.7
18:20:52, 855, 58, 91467, 10.25, 31.30, 21.61, 65.60,  ,  ,  , 0.7
18:20:53, 856, 59, 91464, 9.40, 27.50, 21.60, 65.55,  , 41.521468, 1.497067, 0.7
18:20:54, 857, 60, 91448, 10.80, 27.90, 21.59, 65.50,  ,  ,  , 0.7
18:20:55, 859, 62, 91432, 8.55, 30.30, 21.61, 65.50,  ,  ,  , 0.8
18:20:56, 860, 63, 91416, 9.05, 26.50, 21.62, 65.50,  , 41.521693, 1.497228, 0.9
18:20:57, 863, 66, 91385, 11.05, 30.50, 21.69, 65.50,  ,  ,  , 1.1
18:20:58, 866, 69, 91355, 10.50, 32.50, 21.76, 65.55,  ,  ,  , 1.2
18:20:59, 869, 72, 91326, 9.75, 31.80, 21.89, 65.55,  , 41.521938, 1.497443, 1.4
18:21:00, 871, 74, 91307, 14.15, 36.60, 22.00, 65.50,  ,  ,  , 1.5
18:21:01, 872, 75, 91288, 11.80, 20.90, 22.05, 65.30,  ,  ,  , 1.6
18:21:02, 874, 77, 91270, 13.40, 22.60, 22.04, 65.00,  , 41.522240, 1.497635, 1.6
18:21:03, 874, 77, 91275, 11.05, 27.60, 22.00, 64.70,  ,  ,  , 1.5
18:21:04, 873, 76, 91281, 13.25, 22.50, 22.02, 64.50,  ,  ,  , 1.3
18:21:05, 872, 75, 91288, 11.40, 24.60, 22.00, 64.40,  , 41.522540, 1.497820, 1.3
18:21:06, 871, 74, 91299, 13.10, 23.10, 22.05, 64.40,  ,  ,  , 1.2
18:21:07, 870, 73, 91310, 11.65, 28.80, 22.10, 64.30,  ,  ,  , 1.0
18:21:08, 869, 72, 91322, 11.95, 19.30, 22.12, 64.15,  , 41.522835, 1.498000, 0.7
18:24:17, 1538, 741, 84548, 12.05, 21.50, 18.78, 65.80,  , 41.536863, 1.507448, 3.5
18:24:19, 1564, 767, 84296, 8.25, 16.80, 18.45, 66.15,  ,  ,  , 3.6
18:24:20, 1577, 780, 84172, 7.75, 19.40, 18.29, 66.45, 31.50, 41.537068, 1.507550, 3.7
18:24:24, 1635, 838, 83605, 5.85, 33.90, 17.75, 68.10,  ,  ,  , 3.9
18:24:25, 1649, 852, 83463, 8.15, 54.50, 17.61, 68.60,  ,  ,  , 4.0
18:24:26, 1664, 867, 83322, 12.00, 22.60, 17.50, 69.20,  , 41.537420, 1.507838, 4.0
18:24:37, 1802, 1005, 81989, 5.80, 11.50, 16.25, 74.70,  ,  ,  , 12.9
18:24:38, 1815, 1018, 81868, 6.90, 351.00, 16.15, 75.20,  , 41.538108, 1.508022, 12.8
18:24:40, 1842, 1045, 81607, 7.55, 321.70, 15.92, 76.25,  ,  ,  , 12.7
18:24:41, 1856, 1059, 81478, 5.20, 351.10, 15.77, 76.75,  , 41.538257, 1.507928, 12.8
18:24:43, 1883, 1086, 81218, 6.60, 327.00, 15.54, 77.80,  ,  ,  , 12.9
18:24:44, 1897, 1100, 81088, 4.10, 345.40, 15.44, 78.30,  , 41.538397, 1.507895, 12.9
18:24:46, 1926, 1129, 80817, 6.35, 338.60, 15.23, 79.30,  ,  ,  , 13.1
18:24:47, 1940, 1143, 80684, 7.15, 354.60, 15.10, 79.70, 29.25, 41.538577, 1.507833, 13.1
